"Source","Zone","Code","Name","Severity","Offset","Context"
"https://mikof.md/Atentie_deosebita_fata_de_pacienti_minori..shtml","fetch-error","","Exception calling ""DownloadData"" with ""1"" argument(s): ""The request was aborted: The connection was closed unexpectedly.""","ERROR","-1",""
"https://mikof.md/POLITICA_Centrului_oftalmologic_Microchirurgia_ochiului_SRL_in_domeniul_calitatii.shtml","title","U+00A0","NO-BREAK SPACE","HURTS-CTR","272",""" href=""/favicon.ico""> <title>POLITICA<<U+00A0>>Centrului oftalmologic „Microchirurgia o"
"https://mikof.md/POLITICA_Centrului_oftalmologic_Microchirurgia_ochiului_SRL_in_domeniul_calitatii.shtml","heading","U+00A0","NO-BREAK SPACE","HURTS-CTR","43910","b-bottom""> <h1><b>POLITICA<<U+00A0>>Centrului oftalmologic „Microchirurgia o"
"https://mikof.md/visumax","fetch-error","","Exception calling ""DownloadData"" with ""1"" argument(s): ""The request was aborted: The connection was closed unexpectedly.""","ERROR","-1",""
"https://mikof.md/ru/visumax","fetch-error","","Exception calling ""DownloadData"" with ""1"" argument(s): ""The request was aborted: The connection was closed unexpectedly.""","ERROR","-1",""
"https://mikof.md/en/visumax","fetch-error","","Exception calling ""DownloadData"" with ""1"" argument(s): ""The request was aborted: The connection was closed unexpectedly.""","ERROR","-1",""
